minute,hour,people,t_out,pm25_out,co2_ctrl,temp_ctrl,rh,pm25_ctrl,fan,valve,mode,co2_base,temp_base,pm25_base
40,0.6666666666666666,29.0,6.768630408147383,11.515155012234741,1066.6450707241163,19.745086955495466,51.48418481310752,7.4290719957825475,100,100,auto,1105.2984244642344,20.96409250771291,7.3695705329934365
41,0.6833333333333333,29.0,7.407585233169642,10.196055737018803,1071.3256455760834,19.564843173632436,51.611342964976444,7.422521749058183,100,100,auto,1116.3719323419132,20.964644732252005,7.3548313919274495
42,0.7,29.0,7.380091822736321,10.23049807186439,1075.9351450321503,19.387425273640858,51.73722953532668,7.416012666951956,100,100,auto,1127.3900726802035,20.9650987970687,7.340121729143594
43,0.7166666666666667,29.0,7.467387487937455,12.112554218597401,1080.4746483853658,19.21490457460534,51.86185723997341,7.411050130240613,100,100,auto,1138.3531223168025,20.965856807486738,7.325441485685307
44,0.7333333333333333,29.0,8.092600842986561,13.76928427698191,1084.945218539514,19.05714195557039,51.985238667573675,7.407447446798414,100,100,auto,1149.2613567052185,20.968800411610985,7.310790602713936
45,0.75,4.0,7.524841986669645,12.855317230366744,1076.847902257988,18.843794406145726,51.91538628089794,7.403107254833264,100,100,auto,1147.6150499216924,20.92174655712369,7.296169021508509
46,0.7666666666666667,2.0,7.507981883866483,12.012542668835852,1067.8735452237,18.63408187448356,51.84623241808896,7.398089038053761,100,100,auto,1144.976974672084,20.874798380767288,7.281576683465492
47,0.7833333333333333,3.0,7.353555018818321,12.121120070954158,1059.5354654628957,18.42539212765375,51.77777009390807,7.393169328183616,100,100,auto,1142.8520897987237,20.827474029000467,7.267013530098561
48,0.8,5.0,7.632779059207458,11.198846257580648,1052.324000987348,18.225728785887494,51.709992392968985,7.387507975366759,100,100,auto,1141.73782934973,20.781292596606193,7.252479503038364
49,0.8166666666666667,2.0,7.7506996186431785,13.78452014214661,1043.722043935318,18.031940746293476,51.642892469039296,7.38396479064296,100,100,auto,1139.1291402029813,20.73568552118332,7.237974544032287
50,0.8333333333333334,2.0,7.959386056384276,12.393507776385526,1035.250709194078,17.845598484530154,51.576463544348904,7.379295274805395,100,100,auto,1136.5334945019663,20.690968473056525,7.223498594944223
51,0.85,2.0,7.458717515540303,13.804776557336586,1026.9080132396493,17.65344118660384,51.51069890890542,7.375785020709911,100,100,auto,1133.9508270294564,20.644655594705217,7.209051597754335
52,0.8666666666666667,3.0,7.826918193223307,12.354832862397728,1019.1920026682325,17.471650511226297,51.445591919816366,7.371100351519334,100,100,auto,1131.881072894309,20.59979351380003,7.1946334945588255
53,0.8833333333333333,3.0,8.015194048816756,11.672546717337582,1011.5931611462333,17.29670606667172,51.3811360006182,7.365869114808199,100,100,auto,1129.8216675298374,20.555747415672588,7.180244227569708
54,0.9,5.0,7.636683800401069,9.64681834793721,1005.1097094399387,17.117995654745716,51.317324640612014,7.3589977470843095,100,100,auto,1128.7725591921883,20.51053069301914,7.165883739114569
55,0.9166666666666666,29.0,7.849000522080731,15.344187044323782,1010.7247101484434,16.994519244791412,51.44615139420589,7.3567824225151455,100,100,auto,1139.7286963962274,20.51421533742085,7.15155197163634
56,0.9333333333333333,29.0,7.9124965098730495,10.880813356347323,1016.2544460313744,16.87450182419542,51.573689880263835,7.3509347055901015,100,100,auto,1150.6300529142463,20.51810932152443,7.137248867693067
57,0.95,29.0,6.775765575461009,15.182005333076779,1021.7002118508979,16.73567520359383,51.699952981461195,7.34860335904291,100,100,auto,1161.4769026496751,20.518011118413206,7.1229743699576815
58,0.9666666666666667,29.0,7.409859464556389,10.619410869659731,1027.063282707977,16.611147612421636,51.824953451646586,7.342559005626028,100,100,auto,1172.2695181364268,20.520132587624705,7.108728421217766
59,0.9833333333333333,29.0,7.43421620014537,10.683631036992207,1032.3449143409298,16.489374381294525,51.94870391713012,7.3365790684597325,100,100,auto,1183.0081705457446,20.522331880268524,7.09451096437533
60,1.0,29.0,8.024019172219798,12.026937247651245,1037.5463434194564,16.38076530992664,52.07121687795882,7.331705636969047,100,100,auto,1193.6931296930159,20.52658778579035,7.08032194244658
61,1.0166666666666666,29.0,7.972337676438253,13.474929681871076,1042.668787834198,16.273209398707102,52.19250470917923,7.328021798028485,100,100,auto,1204.3246640445507,20.530647910407616,7.066161298561687
62,1.0333333333333334,29.0,7.365288504168268,11.329430018448356,1047.713446981901,16.156412862158135,52.31257966208744,7.322597141854867,100,100,auto,1214.9030407243279,20.532569152485777,7.052028975964563
63,1.05,29.0,7.773875316292779,13.691457524019178,1052.6815020462498,16.049335917559624,52.431453865466565,7.319107949998136,100,100,auto,1225.4285255207062,20.5359137240591,7.037924918012634
64,1.0666666666666667,29.0,8.074913634764659,9.913428759807918,1057.5741162744364,15.949809105327919,52.5491393268119,7.3125473427172425,100,100,auto,1235.9013828931027,20.540300223746566,7.023849068176609
65,1.0833333333333333,29.0,7.774848461730731,10.930991974154733,1062.3924352495283,15.846572333421372,52.66564793354378,7.306828982232972,100,100,auto,1246.321875978637,20.54362114257951,7.009801370040256
66,1.1,29.0,7.775895336886675,12.981810132744426,1067.137587158702,15.74526480898548,52.78099145420834,7.302793095487779,100,100,auto,1256.6902665987438,20.546934102259584,6.995781767300175
67,1.1166666666666667,29.0,8.423950616599777,9.551074312536793,1071.8106830574031,15.657820496426345,52.895181539666254,7.2959698661440555,100,100,auto,1267.0068152657502,20.552503660059774,6.981790203765575
68,1.1333333333333333,29.0,7.2634120707238425,11.488906403972392,1076.4128171294944,15.55052394055085,53.00822972426959,7.290739257555745,100,100,auto,1277.2717811894215,20.553991839497098,6.967826623358044
69,1.15,29.0,7.78558730536272,11.928376919999863,1080.9450669434539,15.45487261279987,53.12014742702689,7.285877197271744,100,100,auto,1287.4854222834745,20.557302423627625,6.953890970111328
70,1.1666666666666667,29.0,8.019146470364012,10.555039456448325,1085.408493704683,15.365311679164806,53.23094595275663,7.27990584539727,100,100,auto,1297.647995172057,20.5614188777912,6.939983188171105
71,1.1833333333333333,29.0,8.25107807427345,13.896495955792226,1089.8041425039823,15.281698357474315,53.34063649322906,7.2766691044852685,100,100,auto,1307.759755196197,20.56633268497889,6.926103221794763
72,1.2,29.0,7.850715047046473,10.427604132089751,1094.1330425622552,15.192225166231399,53.449230128296776,7.270612332606149,100,100,auto,1317.820956420216,20.569828023246124,6.912251015351174
73,1.2166666666666666,29.0,7.547928545829052,11.631577673785472,1098.396207471495,15.098805678753955,53.556737827013805,7.265548689749206,100,100,auto,1327.8318516381148,20.57225137507516,6.898426513320472
74,1.2333333333333334,29.0,8.34493884189173,12.480526820950159,1102.5946354321131,15.021859142272003,53.663170448743664,7.261186910520112,100,100,auto,1337.7926923799243,20.577455781209018,6.8846296602938315
75,1.25,29.0,8.549410962156198,11.652317575141533,1106.7293094866625,14.95011885093986,53.768538744256226,7.256159017686224,100,100,auto,1347.7037289180248,20.58335762434233,6.8708604009732435
76,1.2666666666666666,29.0,7.350537591418343,13.353072526780933,1110.8011977500132,14.857526597638712,53.872853356813664,7.25252698096897,100,100,auto,1357.5652102734348,20.585042754227093,6.857118680171297
77,1.2833333333333334,29.0,8.02074391091886,12.112035113484266,1114.8112536360316,14.779046117934394,53.97612482324553,7.247890992655056,100,100,auto,1367.3773842220676,20.58906770827551,6.843404442810955
78,1.3,29.0,8.262988625769683,12.32297754446532,1118.7604160808178,14.706499054329345,54.07836357501307,7.243436155335606,100,100,auto,1377.1404973009573,20.59392643148674,6.829717633925332
79,1.3166666666666667,29.0,8.191473772450266,11.825267454743429,1122.6496097625536,14.633971086614583,54.17957993926294,7.238584686136207,100,100,auto,1386.8547948144526,20.59851784718011,6.8160581986574815
